MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
57	1	1	"1,2,3"	"1,2,3,4"	"1,2,3,4,5"	"1,2,3,4,5,6"	"1,2,3,4,5,6,7"	"1,2,3,4,5,6,7,8"									Hoµnh S¬n ®¹i ®×nh
209	1	1	"1,2"	"1,2"	"1,3,4"	"1,3,4"	"1,3,4"	"1,3,4"									DiÔn vâ tr­êng
9	1	1	1	1	1	1	1	1									Tr­êng Giang Nguyªn §Çu
10	1	1	1	1	1	1	1	1									Nh¹n Th¹ch ®éng
11	1	1	1	1	1	1	1	1									 Thµnh §«
12	1	1	1	1	1	1	1	1									§Þa ®¹o hËu viÖn TÝn T­íng tù
13	1	1	1	1	1	1	1	1									Nga My ph¸i
14	1	1	1	1	1	1	1	1									M·nh Hæ ®éng
15	1	1	1	1	1	1	1	1									Gi¶ng Kinh §­êng
16	1	1	1	1	1	1	1	1									TiÒn ®iÖn
17	1	1	1	1	1	1	1	1									ChÝnh ®iÖn
18	1	1	1	1	1	1	1	1									T¶ Thiªn ®iÖn
19	1	1	1	1	1	1	1	1									KiÕm C¸c T©y Nam
20	1	1	1	1	1	1	1	1									Giang T©n Th«n
21	1	1	1	1	1	1	1	1									 Thanh Thµnh s¬n
22	1	1	1	1	1	1	1	1									B¹ch V©n ®éng
23	1	1	1	1	1	1	1	1									ThÇn Tiªn ®éng
24	1	1	1	1	1	1	1	1									H­ëng Thñy ®éng
25	1	1	1	1	1	1	1	1									§­êng M«n
26	1	1	1	1	1	1	1	1									Tróc T¬ ®éng tÇng 1
27	1	1	1	1	1	1	1	1									Tróc T¬ ®éng tÇng 2
28	1	1	1	1	1	1	1	1									Tróc T¬ ®éng tÇng 3
29	1	1	1	1	1	1	1	1									¸m khÝ phßng
30	1	1	1	1	1	1	1	1									Háa khÝ phßng
31	1	1	1	1	1	1	1	1									Vâ c«ng phßng
32	1	1	1	1	1	1	1	1									Y d­îc phßng
33	1	1	1	1	1	1	1	1									Phßng kh¸ch
34	1	1	1	1	1	1	1	1									Phßng nghÞ sù
35	1	1	1	1	1	1	1	1									ChÝnh phßng
36	1	1	1	1	1	1	1	1									TÕ tæ ®­êng
41	1	1	2	2	3	3	3	3									Phôc Ng­u S¬n T©y
42	1	1	2	2	3	3	3	3									Thiªn T©m ®éng
43	1	1	2	2	3	3	3	3									KiÕm C¸c Trung Nguyªn
53	1	1	2	2	4	4	4	4									Ba L¨ng huyÖn
78	1	1	2	2	4	4	4	4									 T­¬ng D­¬ng
79	1	1	2	2	4	4	4	4									MËt ®¹o Nha m«n T­¬ng D­¬ng
80	1	1	2	2	3	3	3	3									 D­¬ng Ch©u
81	1	1	2	2	4	4	4	4									Vâ §ang ph¸i
82	1	1	2	2	4	4	4	4									Mª cung §¸y giÕng
83	1	1	2	2	4	4	4	4									Háa Lang ®éng
84	1	1	2	2	4	4	4	4									Tö Tiªu ®¹i ®iÖn
85	1	1	2	2	4	4	4	4									ThËp Ph­¬ng ®iÖn
86	1	1	2	2	4	4	4	4									Phô MÉu ®iÖn
87	1	1	2	2	4	4	4	4									Long Hæ ®iÖn
88	1	1	2	2	4	4	4	4									Nh· thÊt 1
89	1	1	2	2	4	4	4	4									Nh· thÊt 2
90	1	1	2	2	3	3	3	3									Phôc Ng­u S¬n §«ng
91	1	1	2	2	3	3	3	3									Mª cung Kª Qu¸n ®éng
92	1	1	2	2	3	3	3	3									Thôc C­¬ng s¬n
93	1	1	2	2	3	3	3	3									TiÕn Cóc ®éng
94	1	1	2	2	3	3	3	3									Linh Cèc ®éng
101	1	1	2	2	3	3	3	3									§¹o H­¬ng th«n
102	1	1	2	2	3	3	3	3									Th¸nh ®éng tÇng 2
103	1	1	2	2	3	3	3	3									ThiÕu L©m ph¸i
104	1	1	2	2	3	3	3	3									Tµng Kinh C¸c
105	1	1	2	2	3	3	3	3									§¹t Ma §­êng
106	1	1	2	2	3	3	3	3									§¹i Hïng b¶o ®iÖn
107	1	1	2	2	3	3	3	3									ThiÕu L©m §Ö tö phßng
108	1	1	2	2	3	3	3	3									ThiÕu L©m §Ö tö phßng
109	1	1	2	2	3	3	3	3									Ph­¬ng tr­îng ThiÒn phßng
110	1	1	2	2	3	3	3	3									La H¸n §­êng
111	1	1	2	2	3	3	3	3									Méc Nh©n H¹ng
112	1	1	2	2	3	3	3	3									Thiªn PhËt ®iÖn
113	1	1	2	2	3	3	3	3									MËt thÊt ThiÕu L©m
114	1	1	2	2	3	3	3	3									108 La H¸n trËn
115	1	1	2	2	4	4	4	4									C¸i Bang
116	1	1	2	2	4	4	4	4									T­êng V©n ®éng tÇng 1 
117	1	1	2	2	4	4	4	4									T­êng V©n ®éng tÇng 2
118	1	1	2	2	4	4	4	4									T­êng V©n ®éng tÇng 3
119	1	1	2	2	4	4	4	4									T­êng V©n ®éng tÇng 4
120	1	1	2	2	4	4	4	4									T­êng V©n ®éng tÇng 5
122	1	1	2	2	3	3	3	3									Hoµng Hµ Nguyªn §Çu
123	1	1	2	2	3	3	3	3									L·o Hæ ®éng
124	1	1	2	2	3	3	3	3									C¸n Viªn ®éng
125	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 1
126	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 2
127	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 3
128	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 4
129	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 5
130	1	1	2	2	4	4	4	4									L­u Tiªn ®éng tÇng 6
145	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 1
146	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 2
147	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 3
148	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 4
149	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 5
150	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 6
151	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 7
152	1	1	2	2	3	3	3	3									TuyÕt B¸o ®éng tÇng 8
153	1	1	1	1	2	2	2	2									Th¹ch Cæ trÊn
154	1	1	1	1	2	2	2	2									Thóy Yªn m«n
155	1	1	1	1	2	2	2	2									B¸ch Hoa ®×nh
156	1	1	1	1	2	2	2	2									phßng §Ö tö
157	1	1	1	1	2	2	2	2									phßng §Ö tö
158	1	1	1	1	2	2	2	2									Mª cung cÊm ®Þa
159	1	1	1	1	2	2	2	2									M«n lÇu
160	1	1	1	1	2	2	2	2									Thñ Ngäc s¶nh
161	1	1	1	1	2	2	2	2									Thóy Yªn LÇu
162	1	1	1	1	2	2	2	2									§¹i Lý phñ
163	1	1	1	1	2	2	2	2									¸c b¸ ®Þa ®¹o
164	1	1	1	1	2	2	2	2									Thiªn TÇm th¸p tÇng 1
165	1	1	1	1	2	2	2	2									Thiªn TÇm th¸p tÇng 2
166	1	1	1	1	2	2	2	2									Thiªn TÇm th¸p tÇng 3
167	1	1	1	1	2	2	2	2									 §iÓm Th­¬ng s¬n
168	1	1	1	1	2	2	2	2									Phông Nh·n ®éng
169	1	1	1	1	2	2	2	2									Long Nh·n ®éng
170	1	1	1	1	2	2	2	2									Thæ PhØ ®éng
171	1	1	1	1	2	2	2	2									§iÓm Th­¬ng ®éng tÇng 1
172	1	1	1	1	2	2	2	2									§iÓm Th­¬ng ®éng tÇng 2
173	1	1	1	1	2	2	2	2									§iÓm Th­¬ng ®éng tÇng 3
174	1	1	1	1	1	1	1	1									Long TuyÒn th«n
179	1	1	1	1	2	2	2	2									La Tiªu s¬n
180	1	1	1	1	2	2	2	2									Long Cung ®éng
181	1	1	1	1	2	2	2	2									L­ìng Thñy ®éng
182	1	1	1	1	2	2	2	2									NghiÖt Long ®éng
193	1	1	1	1	2	2	2	2									Vò Di s¬n
194	1	1	1	1	2	2	2	2									Ngäc Hoa ®éng
195	1	1	1	1	2	2	2	2									Nh¹n §·ng s¬n
196	1	1	1	1	2	2	2	2									D­¬ng Gi¸c ®éng
198	1	1	1	1	2	2	2	2									Thanh khª ®éng
199	1	1	2	2	4	4	4	4									Vò L¨ng ®éng
200	1	1	2	2	3	3	3	3									Cæ D­¬ng ®éng
202	1	1	1	1	1	1	1	1									Phï Dung ®éng
203	1	1	1	1	2	2	2	2									V« Danh ®éng
205	1	1	2	2	3	3	3	3									D­¬ng Trung ®éng
229	1	1	1	1	1	1	1	1									TÕ Tæ ®×nh (chiÕn ®Êu) 
230	1	1	1	1	2	2	2	2									Trong thµnh §¹i Lý (chiÕn ®Êu) 
231	1	1	1	1	2	2	2	2									N¬i ë Th­¬ng L­¬ng kh¸ch
232	1	1	2	2	3	3	3	3									N¬i ë Chu V©n TuyÒn
233	1	1	2	2	3	3	3	3									N¬i ë M¹c Kh«ng NguyÖt
236	1	1	2	2	3	3	3	3									§µo Hoa ®¶o (2) 
237	1	1	2	2	4	4	4	4									§µo Hoa ®¶o (3) 
239	1	1	1	1	2	2	2	2									§µo Hoa ®¶o (5) 
240	1	1	1	1	1	1	1	1									§µo Hoa ®¶o (6) 
243	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o (2) 
244	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o (3) 
246	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o (5) 
247	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o (6) 
259	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
260	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
261	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
262	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
263	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
264	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
265	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
266	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
267	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
268	1	1	1	1	1	1	1	1									TÈy Tñy ®¶o s¬n ®éng (2) 
269	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
270	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
271	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
272	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
273	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
274	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
275	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
276	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
277	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
278	1	1	1	1	2	2	2	2									TÈy Tñy ®¶o s¬n ®éng (3) 
289	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
290	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
291	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
292	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
293	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
294	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
295	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
296	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
297	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
298	1	1	2	2	4	4	4	4									TÈy Tñy ®¶o s¬n ®éng (5) 
299	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
300	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
301	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
302	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
303	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
304	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
305	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
306	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
307	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
308	1	1	2	2	3	3	3	3									TÈy Tñy ®¶o s¬n ®éng (6) 
319	1	1	2	2	3	3	3	3									L©m Du Quan
320	1	1	2	2	4	4	4	4									Ch©n nói Tr­êng B¹ch
324	1	1	1	1	3	3	3	3									§iÓm b¸o danh Tèng Kim (trung cÊp) 
325	1	1	3	3	2	2	2	2									§iÓm b¸o danh Tèng Kim (cao cÊp) 
327	1	1	1	1	3	3	3	3									Khu vùc b×nh nguyªn (trung cÊp) 
328	1	1	3	3	2	2	2	2									Khu vùc b×nh nguyªn (cao cÊp) 
330	1	1	1	1	3	3	3	3									Khu vùc Hµ T©n (trung cÊp) 
331	1	1	3	3	2	2	2	2									Khu vùc Hµ T©n (cao cÊp) 
332	1	1	1	1	2	2	2	2									Thiªn Long Tù
333	1	1	1	1	2	2	2	2									Hoa S¬n ph¸i
336	1	1	1	4	4	4	4	4									Phong L¨ng ®é
337	1	1	1	4	4	4	4	4									BÕn thuyÒn 1
338	1	1	1	4	4	4	4	4									BÕn thuyÒn 2
339	1	1	1	4	4	4	4	4									BÕn thuyÒn 3
